Age,Gender,Company,Education_level,Asset,Domestic_Stock_Ratio,Foreign_Stock_Ratio,Cash_Ratio
28,F,namuh,University,4700000,0.18,0.02,0.8
24,M,Mpop,University,2700000,0.92,0.04,0.04
23,F,namuh,University,1100000,0.67,0.15,0.18
26,M,namuh,University,4900000,0.03,0.01,0.96
25,M,M-able,University,4100000,0.25,0.29,0.46
23,F,namuh,University,2700000,0.66,0.22,0.12
27,F,Toss,Under Middle,2000000,0.05,0.45,0.5
28,F,Toss,University,1800000,0.46,0.26,0.28
28,M,namuh,University,2300000,0.07,0.38,0.55
23,M,namuh,High School,3700000,0.27,0.03,0.7
27,M,Mpop,High School,4900000,0.84,0.02,0.14
28,F,Toss,University,2600000,0.66,0.17,0.17
25,M,M-able,University,9000000,0.99,0.01,0
27,M,Toss,High School,6700000,0.04,0.09,0.87
22,M,namuh,High School,3500000,0.33,0.33,0.34
27,M,Toss,High School,4300000,0.5,0.4,0.1
28,M,M-able,Under Middle,8800000,0.44,0.5,0.06
20,F,M-able,High School,3100000,0.26,0.6,0.14
27,F,Mpop,High School,6400000,0.28,0.44,0.28
24,M,Toss,University,2000000,0.55,0.06,0.39
28,M,namuh,Under Middle,2300000,0.2,0.36,0.44
24,M,Mpop,Under Middle,2100000,0.39,0.3,0.31
24,M,Toss,High School,2700000,0.92,0.04,0.04
20,M,Mpop,University,2300000,0.48,0.21,0.31
24,M,Toss,University,1700000,0.62,0.34,0.04
28,M,M-able,University,3200000,0.28,0.22,0.5
20,F,Toss,University,900000,0.91,0.04,0.05
20,F,M-able,University,2200000,0.96,0.03,0.01
24,M,M-able,University,500000,0.26,0.42,0.32
27,M,Mpop,High School,5700000,0.51,0.21,0.28
23,M,Mpop,High School,1600000,0.05,0.27,0.68
27,F,Mpop,High School,9800000,0.29,0.03,0.68
27,M,Mpop,University,7600000,0.18,0.15,0.67
22,F,Mpop,High School,800000,0.46,0.1,0.44
22,M,namuh,High School,600000,0.5,0.11,0.39
21,M,Toss,University,1000000,0.34,0.33,0.33
27,M,namuh,University,3500000,0.16,0.48,0.36
20,F,Mpop,University,1900000,0.5,0.08,0.42
27,M,Mpop,University,3600000,0.09,0.08,0.83
25,F,Mpop,High School,7700000,0.59,0.35,0.06
29,F,Toss,University,5800000,0.71,0,0.29
27,M,M-able,Under Middle,3600000,0.36,0.33,0.31
21,M,Mpop,University,800000,0.62,0.24,0.14
21,F,M-able,Under Middle,800000,0.9,0.09,0.01
22,F,Mpop,High School,1400000,0.87,0.11,0.02
24,M,Toss,University,1400000,0.86,0.07,0.07
21,F,namuh,University,100000,0.62,0.36,0.02
24,F,namuh,University,3000000,0.55,0.44,0.01
25,M,namuh,University,8100000,0.87,0.05,0.08
28,M,M-able,University,7000000,0.1,0.16,0.74
22,M,M-able,University,600000,0.57,0.05,0.38
21,F,Mpop,University,2700000,0.92,0.07,0.01
26,M,Mpop,High School,8500000,0.17,0.68,0.15
23,M,Toss,High School,600000,0.22,0.1,0.68
20,M,Toss,University,3500000,1,0,0
23,M,Toss,University,3700000,0.1,0.13,0.77
29,F,Toss,University,5800000,0.27,0.6,0.13
25,M,Mpop,University,5700000,0.37,0.17,0.46
21,M,M-able,High School,3500000,0.85,0.06,0.09
23,M,Mpop,High School,1100000,0.26,0.56,0.18
27,M,M-able,High School,1600000,0.28,0.06,0.66
21,F,Toss,High School,100000,0.39,0.37,0.24
21,M,M-able,University,500000,0.45,0.48,0.07
27,M,M-able,University,2500000,0.33,0.18,0.49
29,F,Mpop,University,8400000,0.3,0.31,0.39
24,M,Toss,University,2400000,0.75,0.18,0.07
22,M,M-able,University,400000,0.84,0.13,0.03
20,F,namuh,University,3200000,0.69,0.28,0.03
23,M,M-able,High School,1400000,0,0.61,0.39
22,M,M-able,University,3300000,0.09,0.54,0.37
24,F,M-able,High School,2100000,0.88,0.07,0.05
20,M,M-able,High School,600000,0.57,0.36,0.07
20,M,Toss,High School,2200000,0.85,0.06,0.09
29,F,namuh,University,6400000,0.87,0.1,0.03
23,M,Mpop,University,2500000,0.38,0.27,0.35
28,F,Toss,University,5300000,0.67,0.24,0.09
23,F,M-able,High School,700000,0.64,0.03,0.33
20,M,M-able,University,1300000,0.06,0.08,0.86
24,M,M-able,University,3600000,0.6,0.2,0.2
24,M,Mpop,University,1500000,0.68,0.23,0.09
20,M,M-able,University,1700000,0.73,0.05,0.22
22,M,Mpop,University,3500000,0.34,0.46,0.2
25,F,Mpop,University,4200000,0.95,0.02,0.03
25,M,Toss,University,8300000,0.6,0.39,0.01
28,M,namuh,University,2100000,0.2,0.28,0.52
22,F,Toss,University,400000,0.82,0.09,0.09
27,M,M-able,University,7000000,0.55,0.37,0.08
23,M,Mpop,University,3700000,0.1,0.3,0.6
26,M,Toss,High School,2400000,0.6,0.07,0.33
21,M,Toss,High School,3300000,0.93,0.06,0.01
20,M,Toss,University,600000,0.24,0.07,0.69
22,F,namuh,High School,1600000,0.74,0.22,0.04
22,M,Mpop,University,300000,0.36,0.37,0.27
25,M,Toss,University,8000000,0.05,0.25,0.7
25,M,Mpop,University,9400000,0.3,0.5,0.2
21,F,M-able,University,3400000,0.22,0.34,0.44
22,M,Mpop,High School,3100000,0.84,0.02,0.14
28,M,Toss,High School,7300000,0.08,0.58,0.34
27,F,Mpop,University,8200000,0.47,0.34,0.19
23,M,Toss,University,200000,0.73,0.05,0.22
27,F,Toss,High School,7400000,0.22,0.46,0.32
23,F,namuh,University,3000000,0.98,0.01,0.01
21,M,Mpop,University,1300000,0.77,0.22,0.01
20,M,M-able,University,1800000,0.75,0.19,0.06
21,M,Mpop,University,300000,0.44,0.12,0.44
20,M,Toss,University,2200000,0.81,0.18,0.01
28,F,Toss,University,7800000,0.49,0.15,0.36
28,F,M-able,University,4300000,0.89,0.07,0.04
25,F,Mpop,University,7400000,0.56,0.08,0.36
23,M,Mpop,High School,2900000,0.27,0.28,0.45
23,M,Toss,University,200000,0.15,0.29,0.56
21,F,Mpop,University,2000000,0.26,0.5,0.24
20,F,M-able,University,1200000,0.01,0.5,0.49
26,M,M-able,University,4000000,0.08,0.08,0.84
21,M,namuh,High School,100000,0.23,0.12,0.65
26,M,Toss,University,8000000,0.4,0.43,0.17
29,F,M-able,Under Middle,8500000,0.13,0.52,0.35
25,M,Mpop,High School,2400000,0.63,0.09,0.28
27,F,M-able,Under Middle,9400000,0.91,0.01,0.08
20,F,Toss,University,2400000,0.57,0.15,0.28
21,M,Mpop,University,1700000,0.86,0.11,0.03
24,M,Mpop,Under Middle,1300000,0.81,0.02,0.17
29,M,Toss,High School,7500000,0.59,0.24,0.17
25,M,Mpop,High School,7900000,0.23,0.14,0.63
21,F,Mpop,University,3300000,0.49,0.09,0.42
26,M,Toss,High School,3400000,0.56,0.08,0.36
25,M,Toss,University,4300000,0.62,0.04,0.34
24,M,Toss,University,2200000,0.88,0.08,0.04
24,F,M-able,High School,3500000,0.92,0.05,0.03
24,M,Toss,Under Middle,2400000,0.46,0.17,0.37
27,F,Toss,University,4000000,0.11,0.38,0.51
22,F,Toss,High School,3200000,0.13,0.69,0.18
22,F,Toss,High School,3200000,0.56,0.21,0.23
26,M,Toss,High School,9800000,0.42,0.51,0.07
25,F,Toss,High School,7300000,0.39,0.16,0.45
23,M,Toss,University,1600000,0.2,0.03,0.77
20,M,Toss,University,3300000,0.87,0.08,0.05
28,M,M-able,High School,9600000,0.47,0.24,0.29
28,M,namuh,University,4900000,0.52,0.12,0.36
21,F,Toss,University,1600000,0.24,0.69,0.07
28,M,M-able,Under Middle,4900000,0.25,0.45,0.3
27,F,namuh,University,7400000,0.95,0.02,0.03
25,M,Mpop,High School,5800000,0.83,0.14,0.03
27,F,M-able,University,6300000,0.82,0.12,0.06
29,F,Toss,High School,6900000,0.61,0.11,0.28
24,M,M-able,University,2700000,0.31,0.06,0.63
20,M,M-able,University,3400000,0.96,0,0.04
27,M,Mpop,University,4900000,0.66,0.28,0.06
22,M,M-able,High School,3400000,0.17,0.06,0.77
23,M,namuh,University,2200000,0.79,0.16,0.05
29,F,M-able,University,6400000,0.12,0.42,0.46
25,F,M-able,University,7000000,0.64,0.33,0.03
24,F,Toss,High School,2000000,0.93,0.01,0.06
20,F,namuh,High School,1000000,0.48,0.09,0.43
24,M,namuh,University,1500000,0.85,0.05,0.1
25,M,M-able,University,8500000,0.39,0.13,0.48
28,M,Toss,High School,2600000,0.07,0.62,0.31
21,M,Toss,High School,3700000,0.49,0.43,0.08
24,M,Mpop,University,1500000,0.39,0.08,0.53
28,F,M-able,University,3600000,0.36,0.32,0.32
20,F,Mpop,University,2900000,0.88,0.1,0.02
21,F,Mpop,University,700000,0.54,0.39,0.07
21,F,Toss,High School,2600000,0.82,0.03,0.15
28,M,Toss,University,9600000,0.62,0.31,0.07
29,F,M-able,High School,6600000,0.5,0.04,0.46
24,F,Toss,University,800000,0.19,0.43,0.38
29,F,M-able,University,2000000,0.32,0.26,0.42
20,F,Mpop,Under Middle,900000,0.56,0.1,0.34
23,F,Mpop,University,700000,0.4,0.05,0.55
20,F,namuh,University,3900000,0.06,0.29,0.65
27,M,Toss,University,7100000,0.88,0.04,0.08
20,F,Mpop,University,300000,0.86,0.06,0.08
28,M,Toss,University,6800000,0.5,0.34,0.16
21,F,M-able,High School,100000,0.59,0.06,0.35
22,F,M-able,University,3500000,0.51,0.01,0.48
28,F,Mpop,Under Middle,4700000,0.88,0,0.12
25,F,Toss,High School,8900000,0.72,0.13,0.15
28,M,M-able,University,6000000,0.56,0.32,0.12
22,M,namuh,University,2400000,0.21,0.48,0.31
21,F,M-able,University,400000,0.99,0.01,0
23,F,Toss,High School,3400000,0.59,0.27,0.14
25,M,Toss,University,1900000,0.67,0.24,0.09
20,M,Toss,University,2200000,0.68,0.16,0.16
22,M,M-able,High School,1300000,0.97,0.01,0.02
25,F,M-able,University,3900000,0.94,0.03,0.03
28,M,Mpop,University,2100000,0.81,0.09,0.1
26,M,Mpop,University,1700000,0.07,0.33,0.6
22,F,Mpop,University,3000000,0.31,0.39,0.3
27,M,namuh,High School,1600000,0.14,0.52,0.34
27,M,Mpop,University,5300000,0.37,0.14,0.49
21,M,Toss,High School,1400000,0.1,0.21,0.69
28,M,M-able,High School,9700000,0.37,0.1,0.53
24,M,Mpop,University,3000000,0.9,0.02,0.08
29,F,Toss,University,8400000,0.51,0.48,0.01
23,M,Mpop,University,1000000,0.16,0.58,0.26
23,F,Mpop,University,700000,0.46,0.23,0.31
22,F,M-able,High School,200000,0.06,0.53,0.41
29,F,Toss,High School,6200000,0.11,0.61,0.28
20,F,Mpop,University,400000,0.2,0.18,0.62
24,F,Mpop,University,100000,0.74,0.24,0.02
26,M,Toss,High School,7600000,0.25,0.19,0.56
24,F,namuh,University,3300000,0.77,0.21,0.02
23,F,Mpop,University,2800000,0.9,0.08,0.02
22,M,M-able,High School,1000000,0.29,0.28,0.43
23,M,Toss,University,2700000,0.44,0.06,0.5
21,M,Mpop,University,3000000,0.08,0.66,0.26
21,M,Toss,University,2400000,0.46,0.03,0.51
22,F,M-able,University,1900000,0.88,0.1,0.02
27,F,M-able,University,1600000,1,0,0
22,F,M-able,University,1700000,0.75,0.12,0.13
27,M,Toss,High School,3100000,0.24,0.53,0.23
20,F,M-able,High School,700000,0.09,0.67,0.24
21,M,M-able,University,2500000,0.14,0.11,0.75
28,F,M-able,High School,4600000,0.09,0.25,0.66
20,F,namuh,University,1900000,0.03,0.38,0.59
25,F,Mpop,University,9200000,0.96,0.01,0.03
22,M,Mpop,University,1900000,0.5,0.13,0.37
28,M,Mpop,University,7300000,0.2,0.17,0.63
20,M,Mpop,University,700000,0.2,0.55,0.25
24,M,Toss,University,3300000,0.73,0.01,0.26
20,M,Toss,University,1500000,0.05,0.18,0.77
23,M,Mpop,High School,2000000,0.35,0.24,0.41
28,M,Toss,University,2000000,0.12,0.28,0.6
21,F,Toss,University,300000,0.48,0.19,0.33
26,M,M-able,University,3700000,0.96,0.02,0.02
24,F,Toss,University,600000,0.12,0.42,0.46
26,M,Mpop,University,8000000,0.72,0.09,0.19
29,F,Toss,High School,3700000,0.79,0.11,0.1
26,M,M-able,High School,9700000,0.72,0.21,0.07
24,M,namuh,University,3800000,0.87,0.13,0
27,F,Mpop,High School,3300000,0.34,0.17,0.49
22,M,Mpop,High School,300000,0.62,0.13,0.25
29,F,Toss,University,4400000,0.45,0.18,0.37
28,F,Mpop,University,5700000,0.6,0.38,0.02
20,M,Toss,Under Middle,3800000,0.43,0.21,0.36
28,F,Toss,University,3900000,0.96,0.03,0.01
26,M,Toss,University,5500000,0.06,0.63,0.31
22,M,Mpop,Under Middle,900000,0.78,0.06,0.16
26,M,M-able,University,2900000,0.9,0.09,0.01
29,M,Mpop,University,2100000,0.46,0.35,0.19
25,F,M-able,University,3900000,0.47,0.47,0.06
23,F,M-able,High School,2500000,0.57,0.05,0.38
27,F,Toss,University,8700000,0.62,0.24,0.14
28,M,M-able,University,2800000,0.27,0.39,0.34
23,F,Toss,University,1500000,0.36,0.58,0.06
28,F,Toss,High School,7900000,0.05,0.5,0.45
28,M,Toss,University,9400000,0.6,0.36,0.04
29,M,Toss,High School,4700000,0.26,0.7,0.04
29,M,Mpop,High School,7400000,0.3,0.06,0.64
24,M,Mpop,University,300000,0.06,0.53,0.41
24,F,Mpop,High School,800000,0.13,0.03,0.84
21,M,M-able,University,1000000,0.11,0.29,0.6
20,F,Toss,University,1000000,0.8,0.2,0
27,F,Toss,University,9600000,0.13,0.35,0.52
26,M,M-able,University,8900000,0.72,0.22,0.06
22,M,M-able,University,2600000,0.98,0.02,0
21,F,M-able,University,900000,0.81,0.17,0.02
20,F,namuh,High School,800000,0.76,0.11,0.13
26,F,namuh,University,2000000,0.43,0.35,0.22
21,M,M-able,High School,1700000,0.03,0.68,0.29
26,F,Toss,University,9100000,0.26,0.5,0.24
27,F,Mpop,Under Middle,3700000,0.62,0.1,0.28
21,M,Mpop,University,900000,0.17,0.5,0.33
25,M,Toss,University,3700000,0.49,0.32,0.19
22,F,namuh,University,1400000,0.24,0.32,0.44
20,M,Mpop,University,2200000,0.55,0.16,0.29
22,M,namuh,University,2200000,0.44,0.49,0.07
26,F,namuh,University,2700000,0.4,0.4,0.2
26,M,M-able,University,6800000,0.14,0.4,0.46
23,M,Mpop,University,600000,0.41,0.24,0.35
25,F,Mpop,Under Middle,1600000,0.07,0.38,0.55
24,M,Mpop,High School,700000,0.25,0.64,0.11
27,M,namuh,University,2300000,0.45,0.06,0.49
23,M,Mpop,University,1000000,0.76,0.02,0.22
22,M,Toss,University,3100000,0.57,0.17,0.26
26,F,M-able,University,9900000,0.17,0.61,0.22
29,M,M-able,University,7100000,0.17,0.17,0.66
21,M,Toss,University,3700000,0.33,0.1,0.57
25,M,Mpop,High School,7700000,0.82,0.18,0
21,M,namuh,University,1100000,0.66,0.23,0.11
29,F,Toss,University,3300000,0.97,0.02,0.01
23,M,Toss,University,2300000,0.34,0.28,0.38
21,F,namuh,Under Middle,1000000,0.88,0.01,0.11
20,F,namuh,University,1800000,0.73,0.16,0.11
27,F,M-able,Under Middle,3200000,0.42,0.15,0.43
23,F,Toss,University,3100000,0.36,0.56,0.08
29,F,Toss,University,5600000,0.44,0.35,0.21
26,M,Toss,University,9400000,0.5,0.12,0.38
24,M,Toss,University,3000000,0.43,0.21,0.36
24,M,Toss,High School,2000000,0.3,0.26,0.44
23,F,M-able,High School,2000000,0.97,0.02,0.01
25,F,Mpop,University,9100000,0.37,0.47,0.16
24,M,M-able,University,1500000,0.01,0.03,0.96
24,M,M-able,University,2600000,0.48,0.5,0.02
29,F,namuh,University,7900000,0.39,0.21,0.4
20,M,Toss,High School,200000,0.12,0.45,0.43
20,M,M-able,Under Middle,2400000,0.2,0.42,0.38
29,F,Toss,University,9500000,0.5,0.25,0.25
25,F,M-able,University,7800000,0.41,0.07,0.52
20,M,Mpop,High School,200000,0.39,0.2,0.41
26,F,M-able,High School,7900000,0.49,0.46,0.05
23,M,Toss,Under Middle,2600000,0.11,0.4,0.49
28,F,namuh,University,7900000,0.54,0.06,0.4
29,M,Mpop,University,7400000,0.87,0.13,0
26,M,M-able,University,7500000,0.62,0.31,0.07
22,F,Toss,University,3600000,0.82,0.04,0.14
21,F,Mpop,University,2000000,0.22,0.66,0.12
27,F,namuh,University,7700000,0.2,0.6,0.2
27,M,Mpop,University,3300000,0.67,0.12,0.21
26,F,Toss,University,5500000,0.84,0.02,0.14
27,F,Mpop,University,2200000,0.56,0.22,0.22
25,M,Mpop,High School,4400000,0.61,0.12,0.27
29,M,M-able,Under Middle,4400000,0.91,0.08,0.01
28,M,M-able,High School,5300000,0.03,0.48,0.49
28,F,Toss,University,3800000,0.51,0.01,0.48
21,M,Mpop,High School,3500000,0.59,0.38,0.03
24,M,Toss,Under Middle,1800000,0.54,0.05,0.41
26,M,namuh,University,9800000,0.2,0.33,0.47
24,M,Toss,University,1700000,0.68,0.14,0.18
22,F,Toss,High School,1900000,0.71,0.09,0.2
27,M,M-able,University,6500000,0.17,0.4,0.43
28,F,M-able,High School,2300000,0.08,0.29,0.63
25,F,Mpop,University,8600000,0.83,0.13,0.04
27,M,M-able,University,9400000,0.21,0.56,0.23
29,M,M-able,University,6600000,0.14,0.09,0.77
29,F,Mpop,University,4700000,0.14,0.07,0.79
26,M,Mpop,University,5300000,0.55,0,0.45
29,M,M-able,Under Middle,4200000,0.75,0.23,0.02
29,M,M-able,University,8700000,0.57,0.19,0.24
23,M,namuh,Under Middle,2600000,0.14,0.63,0.23
29,M,M-able,University,6000000,0.07,0.55,0.38
23,M,Mpop,High School,1700000,0.85,0.02,0.13
27,M,Mpop,University,7800000,0.28,0.54,0.18
22,F,namuh,University,2000000,0.79,0.18,0.03
28,M,M-able,University,3500000,0.65,0.14,0.21
21,M,Toss,High School,1200000,0.31,0.45,0.24
23,F,Toss,University,3000000,0.48,0.38,0.14
22,M,Toss,University,3000000,0.82,0.09,0.09
21,F,M-able,University,1600000,0.93,0.04,0.03
27,F,namuh,University,5600000,0.25,0.63,0.12
28,F,Mpop,High School,6800000,0.8,0.08,0.12
27,F,M-able,University,4800000,0.28,0.08,0.64
25,M,M-able,University,7000000,0.23,0.19,0.58
27,F,Mpop,University,5400000,0.53,0.38,0.09
27,F,Mpop,University,6900000,0.26,0.13,0.61
21,F,Toss,University,2600000,0.87,0.09,0.04
25,M,Toss,University,8400000,0.02,0.3,0.68
26,M,Mpop,University,5800000,0.2,0.59,0.21
25,F,Toss,University,8400000,0.59,0.08,0.33
28,M,M-able,High School,9000000,0.58,0.06,0.36
28,M,namuh,University,9400000,0.23,0.36,0.41
21,M,namuh,High School,900000,0.78,0.07,0.15
25,M,M-able,University,2100000,0.11,0.3,0.59
22,F,Toss,University,600000,0.54,0.2,0.26
29,M,Toss,High School,5800000,0.6,0.11,0.29
25,F,Mpop,High School,2700000,0.34,0.56,0.1
21,F,Mpop,University,1500000,0.69,0.25,0.06
28,F,M-able,University,2500000,0.11,0.09,0.8
21,F,Mpop,University,3600000,0.96,0.02,0.02
27,F,M-able,University,4100000,0.17,0.04,0.79
28,F,Mpop,University,7000000,0.29,0.1,0.61
25,M,Toss,University,4700000,0.89,0.03,0.08
20,F,namuh,University,3800000,0.91,0.03,0.06
21,F,M-able,High School,1400000,0.75,0.21,0.04
29,M,Mpop,University,3800000,0.19,0.67,0.14
25,F,Mpop,University,3500000,0.37,0.09,0.54
21,F,M-able,High School,800000,0.65,0.23,0.12
24,M,namuh,University,1200000,0.72,0.06,0.22
29,M,M-able,University,4100000,0.66,0.1,0.24
28,F,Mpop,University,8300000,0.51,0.36,0.13
22,M,namuh,University,800000,0.6,0.03,0.37
28,F,Toss,High School,1500000,0.85,0.13,0.02
23,F,namuh,University,2400000,0.64,0.34,0.02
23,M,Toss,University,1900000,0.02,0.1,0.88
27,M,Toss,University,2200000,0.14,0.11,0.75
24,F,Mpop,University,600000,0.51,0.39,0.1
28,M,M-able,High School,3700000,0.47,0.22,0.31
23,F,M-able,High School,3600000,0.93,0,0.07
23,M,M-able,University,1600000,0.86,0.03,0.11
21,F,Mpop,University,1900000,0.44,0.38,0.18
27,F,Mpop,University,3300000,0.89,0.06,0.05
25,F,M-able,High School,3200000,0.97,0.02,0.01
25,F,Mpop,High School,9000000,0.88,0.1,0.02
27,F,Mpop,University,6000000,0.17,0.43,0.4
27,M,M-able,University,7100000,0.72,0.26,0.02
23,F,namuh,University,3700000,0.16,0.43,0.41
22,M,M-able,High School,3400000,0.6,0.34,0.06
21,M,namuh,University,2700000,0.85,0.09,0.06
22,F,M-able,High School,2300000,0.4,0.04,0.56
29,M,M-able,University,2500000,0.69,0.07,0.24
25,F,Toss,Under Middle,7400000,0.71,0.27,0.02
28,M,Toss,High School,7400000,0.63,0.2,0.17
28,M,Toss,High School,8400000,0.01,0.51,0.48
28,F,Mpop,University,6800000,0.74,0.07,0.19
22,M,Toss,High School,3000000,0.15,0.47,0.38
22,M,Toss,University,2700000,0.31,0.65,0.04
28,M,Toss,University,3800000,0.44,0.27,0.29
24,M,Toss,University,200000,0.48,0.23,0.29
21,M,Toss,University,1400000,0.6,0.1,0.3
21,M,namuh,University,1000000,0.66,0.01,0.33
20,M,M-able,University,400000,0,0.65,0.35
22,M,Mpop,High School,2300000,0.09,0.11,0.8
21,F,M-able,University,1400000,0.85,0.13,0.02
27,F,namuh,University,2600000,0.06,0.52,0.42
20,F,Mpop,Under Middle,2200000,0.35,0.61,0.04
22,F,Toss,University,3300000,0.87,0.04,0.09
29,F,namuh,High School,5500000,0.75,0.22,0.03
23,M,Toss,High School,900000,0.05,0.04,0.91
24,M,M-able,High School,2700000,0.6,0.08,0.32
29,F,Mpop,University,7800000,0.81,0.09,0.1
23,F,namuh,University,3600000,0.42,0.35,0.23
20,M,Toss,High School,1900000,0.4,0.11,0.49
20,F,namuh,University,1700000,0.06,0.16,0.78
26,M,Toss,University,3300000,0.9,0.1,0
24,F,M-able,Under Middle,1800000,0.34,0.44,0.22
23,F,M-able,University,3300000,0.71,0.12,0.17
23,M,M-able,High School,1900000,0.35,0.56,0.09
21,M,Toss,University,3900000,0.75,0.18,0.07
20,F,M-able,University,200000,0.76,0.11,0.13
27,F,namuh,University,3400000,0.68,0.09,0.23
28,M,Toss,High School,5700000,0.61,0.15,0.24
26,F,Toss,High School,5200000,0.46,0.12,0.42
22,M,M-able,University,300000,0.18,0.18,0.64
28,F,M-able,Under Middle,5500000,0.69,0.2,0.11
28,F,Mpop,University,5600000,0.57,0.1,0.33
29,M,Toss,High School,1500000,0.66,0.26,0.08
26,M,Mpop,University,4700000,0.08,0.45,0.47
24,F,Toss,University,1500000,0.7,0.05,0.25
21,F,namuh,University,1200000,0.2,0.7,0.1
28,F,namuh,University,7400000,0.6,0.09,0.31
25,M,M-able,University,5400000,0.58,0.34,0.08
24,M,Mpop,University,2200000,0.16,0.6,0.24
23,F,Mpop,University,200000,0.69,0,0.31
25,F,Toss,High School,1600000,0.78,0.2,0.02
27,F,Toss,University,8500000,0.77,0.12,0.11
26,F,Toss,High School,5100000,0.28,0.12,0.6
26,M,namuh,High School,2700000,0.22,0.54,0.24
29,M,M-able,University,6700000,0.73,0.25,0.02
23,F,Toss,High School,1800000,0.8,0.1,0.1
23,F,Toss,Under Middle,1700000,0.01,0.09,0.9
22,M,Toss,High School,600000,0.09,0.56,0.35
27,F,namuh,High School,4700000,0.64,0.34,0.02
23,M,Toss,High School,1200000,0.3,0.19,0.51
29,M,Toss,High School,6100000,0.31,0.23,0.46
29,F,Mpop,University,4400000,0.63,0.08,0.29
25,F,Mpop,High School,8200000,0.14,0.62,0.24
29,F,namuh,University,6600000,0.93,0.03,0.04
28,M,Toss,University,9600000,0.91,0.03,0.06
23,M,Toss,University,400000,0.34,0,0.66
28,F,namuh,Under Middle,3900000,0.21,0.03,0.76
25,M,Toss,University,9800000,0.7,0.04,0.26
29,F,Mpop,University,3900000,0.95,0.04,0.01
20,M,Mpop,High School,200000,0.85,0.08,0.07
27,F,namuh,University,6000000,0.23,0.06,0.71
20,F,Toss,High School,700000,0.9,0.02,0.08
21,M,Toss,University,1900000,0.35,0.16,0.49
26,F,Toss,University,9300000,0.28,0.62,0.1
26,M,Toss,University,9500000,0.98,0.01,0.01
24,M,Toss,University,1100000,0.46,0.43,0.11
25,F,M-able,High School,3300000,0.57,0.2,0.23
27,M,namuh,University,8800000,0.6,0.13,0.27
26,F,Mpop,University,8500000,0.57,0.26,0.17
20,F,Toss,University,2700000,0.01,0.24,0.75
21,F,Mpop,University,3800000,0.96,0.02,0.02
26,F,Mpop,University,9900000,0.81,0.08,0.11
26,F,M-able,High School,5100000,0.34,0.29,0.37
24,F,Toss,University,400000,0.12,0.43,0.45
22,F,Toss,University,300000,0.17,0.7,0.13
22,F,M-able,Under Middle,1700000,0.99,0,0.01
24,F,Toss,University,2500000,0.77,0.2,0.03
24,M,Toss,University,900000,0.07,0.43,0.5
23,F,Mpop,University,2800000,0.17,0.42,0.41
21,M,Mpop,University,1100000,0.27,0.47,0.26
20,F,M-able,High School,1400000,0.45,0.34,0.21
26,M,Mpop,University,3100000,0.35,0.18,0.47
26,M,Toss,High School,7700000,0.46,0.19,0.35
20,M,M-able,Under Middle,3400000,0.87,0.05,0.08
29,M,M-able,University,5600000,0.08,0.68,0.24
28,M,M-able,High School,5600000,0.07,0.39,0.54
29,F,M-able,University,5200000,0.23,0.08,0.69
25,M,M-able,University,2700000,0.73,0.18,0.09
22,M,Mpop,Under Middle,700000,0.93,0,0.07
29,M,Mpop,University,4500000,0.59,0.17,0.24
28,M,namuh,High School,9900000,0.54,0.29,0.17
24,F,Toss,University,2400000,0.9,0.02,0.08
24,F,M-able,University,400000,0.1,0.44,0.46
20,M,Mpop,University,3700000,0.91,0.04,0.05
22,M,Toss,University,600000,0.77,0.13,0.1
25,M,M-able,High School,9700000,0.39,0.02,0.59
27,F,Toss,University,9000000,0.75,0.01,0.24
27,F,M-able,University,3300000,0.83,0.04,0.13
21,M,Toss,University,3300000,0.41,0.13,0.46
23,M,Toss,University,3800000,0.75,0.04,0.21
22,M,M-able,University,3400000,0.91,0.05,0.04
20,F,Mpop,University,500000,0.19,0.44,0.37
23,F,M-able,University,1000000,0.15,0.04,0.81
22,M,Mpop,University,1500000,0.26,0.04,0.7
22,M,Toss,Under Middle,300000,0.13,0.34,0.53
22,F,namuh,High School,2400000,0.18,0.13,0.69
23,F,namuh,University,3700000,0.39,0.42,0.19
25,F,namuh,University,5000000,0.21,0.52,0.27
21,M,M-able,Under Middle,2700000,0.99,0.01,0
27,F,Mpop,University,3400000,0.66,0.18,0.16
25,F,Mpop,University,1900000,0.94,0.02,0.04
23,F,Toss,University,2800000,0.68,0.2,0.12
29,M,Toss,University,6100000,0.15,0.18,0.67
23,F,M-able,University,800000,0.97,0.02,0.01
20,F,namuh,University,2100000,0.96,0.02,0.02
26,F,M-able,High School,6500000,0.63,0.11,0.26
23,M,Toss,University,600000,0.35,0.41,0.24
26,M,Mpop,University,6300000,0.47,0.25,0.28
29,F,M-able,University,4000000,0.94,0.01,0.05
25,M,Mpop,University,9800000,0.13,0.61,0.26
21,F,M-able,Under Middle,1300000,0.95,0.04,0.01
29,M,M-able,University,9600000,0.59,0.14,0.27
23,F,M-able,University,2800000,0.22,0.04,0.74
23,M,Toss,High School,600000,0.39,0.32,0.29
29,M,namuh,University,2200000,0.86,0.01,0.13
27,F,M-able,University,3000000,0.37,0.51,0.12
28,F,M-able,High School,1900000,0.07,0.16,0.77
24,F,Mpop,High School,1500000,0.05,0.43,0.52
27,F,Mpop,High School,4400000,0.09,0.03,0.88
28,F,namuh,University,2700000,0.19,0.51,0.3
29,M,Toss,High School,5200000,0.82,0.13,0.05
